WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
{"step": 4800, "train_action_l1_loss": 0.03522917628288269, "total_loss": 0.04506504535675049, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1984647170174867}
{"step": 4900, "train_action_l1_loss": 0.03650404140353203, "total_loss": 0.04219059646129608, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19622337608598173}
{"step": 5000, "train_action_l1_loss": 0.036841973662376404, "total_loss": 0.04313915967941284, "val_action_l1_loss": 0.037542328145354985, "val_total_loss": 0.041048291884362695, "learning_rate": 0.0001, "time_per_step": 0.19346916116774082}
{"step": 5100, "train_action_l1_loss": 0.03432965278625488, "total_loss": 0.039058439433574677, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20470165205188096}
{"step": 5200, "train_action_l1_loss": 0.03562859073281288, "total_loss": 0.04040125757455826, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20062194298952818}
{"step": 5300, "train_action_l1_loss": 0.045633889734745026, "total_loss": 0.05050396919250488, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19294187589548528}
{"step": 5400, "train_action_l1_loss": 0.03932401165366173, "total_loss": 0.044354766607284546, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20046372502110898}
{"step": 5500, "train_action_l1_loss": 0.03630397841334343, "total_loss": 0.04012574627995491, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19537227018736303}
{"step": 5600, "train_action_l1_loss": 0.03536170348525047, "total_loss": 0.038487691432237625, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2108921769540757}
{"step": 5700, "train_action_l1_loss": 0.03453424572944641, "total_loss": 0.04112774878740311, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1949728720355779}
{"step": 5800, "train_action_l1_loss": 0.036332737654447556, "total_loss": 0.03939667344093323, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19827217911370099}
{"step": 5900, "train_action_l1_loss": 0.03706563264131546, "total_loss": 0.040701817721128464, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19769398192875087}
{"step": 6000, "train_action_l1_loss": 0.03640866279602051, "total_loss": 0.03903526812791824, "val_action_l1_loss": 0.033948708511888984, "val_total_loss": 0.03785433806478977, "learning_rate": 0.0001, "time_per_step": 0.19603205006569624}
{"step": 6100, "train_action_l1_loss": 0.030515054240822792, "total_loss": 0.03438688814640045, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1996370260603726}
{"step": 6200, "train_action_l1_loss": 0.032869789749383926, "total_loss": 0.035293687134981155, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19473464996553957}
{"step": 6300, "train_action_l1_loss": 0.028630364686250687, "total_loss": 0.032676734030246735, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19586043804883957}
{"step": 6400, "train_action_l1_loss": 0.028942031785845757, "total_loss": 0.03301185742020607, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20639069913886487}
{"step": 6500, "train_action_l1_loss": 0.03465770184993744, "total_loss": 0.037435200065374374, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.21155411913059652}
{"step": 6600, "train_action_l1_loss": 0.033577729016542435, "total_loss": 0.03685310110449791, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20123700890690088}
{"step": 6700, "train_action_l1_loss": 0.033923644572496414, "total_loss": 0.03663191571831703, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2056934479624033}
{"step": 6800, "train_action_l1_loss": 0.030611874535679817, "total_loss": 0.0370371975004673, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20241322019137442}
{"step": 6900, "train_action_l1_loss": 0.0331980399787426, "total_loss": 0.035276055335998535, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20129257696680725}
