WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
{"step": 4800, "train_action_l1_loss": 0.052093178033828735, "total_loss": 0.06258280575275421, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19513384508900344}
{"step": 4900, "train_action_l1_loss": 0.05042670667171478, "total_loss": 0.0627875030040741, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19162232498638332}
{"step": 5000, "train_action_l1_loss": 0.04827902466058731, "total_loss": 0.05862560123205185, "val_action_l1_loss": 0.05116377994418144, "val_total_loss": 0.0577907795086503, "learning_rate": 0.0001, "time_per_step": 0.2039657011628151}
{"step": 5100, "train_action_l1_loss": 0.050526559352874756, "total_loss": 0.05745089426636696, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.195423801895231}
{"step": 5200, "train_action_l1_loss": 0.048736900091171265, "total_loss": 0.05348662659525871, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19151932187378407}
{"step": 5300, "train_action_l1_loss": 0.04957792907953262, "total_loss": 0.05352542921900749, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19986905017867684}
{"step": 5400, "train_action_l1_loss": 0.04920602962374687, "total_loss": 0.055381182581186295, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20194447389803827}
{"step": 5500, "train_action_l1_loss": 0.04509894549846649, "total_loss": 0.050233397632837296, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1982367909513414}
{"step": 5600, "train_action_l1_loss": 0.048747338354587555, "total_loss": 0.057664837688207626, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20027316105552018}
{"step": 5700, "train_action_l1_loss": 0.047140996903181076, "total_loss": 0.05349503457546234, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19441842613741755}
{"step": 5800, "train_action_l1_loss": 0.04919293895363808, "total_loss": 0.05143146961927414, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1902501410804689}
